x	y	z
-30	-40	-20
-30	-40	-15
-30	-40	-10
-30	-40	-5
-30	-40	0
-30	-40	5
-30	-40	10
-30	-40	15
-30	-40	20
-30	-40	25
-30	-40	30
-30	-40	35
-30	-35	-20
-30	-35	-15
-30	-35	-10
-30	-35	-5
-30	-35	0
-30	-35	5
-30	-35	10
-30	-35	15
-30	-35	20
-30	-35	25
-30	-35	30
-30	-35	35
-30	-30	-20
-30	-30	-15
-30	-30	-10
-30	-30	-5
-30	-30	0
-30	-30	5
-30	-30	10
-30	-30	15
-30	-30	20
-30	-30	25
-30	-30	30
-30	-30	35
-30	-25	-20
-30	-25	-15
-30	-25	-10
-30	-25	-5
-30	-25	0
-30	-25	5
-30	-25	10
-30	-25	15
-30	-25	20
-30	-25	25
-30	-25	30
-30	-25	35
-30	-20	-20
-30	-20	-15
-30	-20	-10
-30	-20	-5
-30	-20	0
-30	-20	5
-30	-20	10
-30	-20	15
-30	-20	20
-30	-20	25
-30	-20	30
-30	-20	35
-30	-15	-20
-30	-15	-15
-30	-15	-10
-30	-15	-5
-30	-15	0
-30	-15	5
-30	-15	10
-30	-15	15
-30	-15	20
-30	-15	25
-30	-15	30
-30	-15	35
-30	-10	-20
-30	-10	-15
-30	-10	-10
-30	-10	-5
-30	-10	0
-30	-10	5
-30	-10	10
-30	-10	15
-30	-10	20
-30	-10	25
-30	-10	30
-30	-10	35
-30	-5	-20
-30	-5	-15
-30	-5	-10
-30	-5	-5
-30	-5	0
-30	-5	5
-30	-5	10
-30	-5	15
-30	-5	20
-30	-5	25
-30	-5	30
-30	-5	35
-30	0	-20
-30	0	-15
-30	0	-10
-30	0	-5
-30	0	0
-30	0	5
-30	0	10
-30	0	15
-30	0	20
-30	0	25
-30	0	30
-30	0	35
-30	5	-20
-30	5	-15
-30	5	-10
-30	5	-5
-30	5	0
-30	5	5
-30	5	10
-30	5	15
-30	5	20
-30	5	25
-30	5	30
-30	5	35
-30	10	-20
-30	10	-15
-30	10	-10
-30	10	-5
-30	10	0
-30	10	5
-30	10	10
-30	10	15
-30	10	20
-30	10	25
-30	10	30
-30	10	35
-30	15	-20
-30	15	-15
-30	15	-10
-30	15	-5
-30	15	0
-30	15	5
-30	15	10
-30	15	15
-30	15	20
-30	15	25
-30	15	30
-30	15	35
-30	20	-20
-30	20	-15
-30	20	-10
-30	20	-5
-30	20	0
-30	20	5
-30	20	10
-30	20	15
-30	20	20
-30	20	25
-30	20	30
-30	20	35
-30	25	-20
-30	25	-15
-30	25	-10
-30	25	-5
-30	25	0
-30	25	5
-30	25	10
-30	25	15
-30	25	20
-30	25	25
-30	25	30
-30	25	35
-30	30	-20
-30	30	-15
-30	30	-10
-30	30	-5
-30	30	0
-30	30	5
-30	30	10
-30	30	15
-30	30	20
-30	30	25
-30	30	30
-30	30	35
-30	35	-20
-30	35	-15
-30	35	-10
-30	35	-5
-30	35	0
-30	35	5
-30	35	10
-30	35	15
-30	35	20
-30	35	25
-30	35	30
-30	35	35
-30	40	-20
-30	40	-15
-30	40	-10
-30	40	-5
-30	40	0
-30	40	5
-30	40	10
-30	40	15
-30	40	20
-30	40	25
-30	40	30
-30	40	35
-25	-40	-20
-25	-40	-15
-25	-40	-10
-25	-40	-5
-25	-40	0
-25	-40	5
-25	-40	10
-25	-40	15
-25	-40	20
-25	-40	25
-25	-40	30
-25	-40	35
-25	-35	-20
-25	-35	-15
-25	-35	-10
-25	-35	-5
-25	-35	0
-25	-35	5
-25	-35	10
-25	-35	15
-25	-35	20
-25	-35	25
-25	-35	30
-25	-35	35
-25	-30	-20
-25	-30	-15
-25	-30	-10
-25	-30	-5
-25	-30	0
-25	-30	5
-25	-30	10
-25	-30	15
-25	-30	20
-25	-30	25
-25	-30	30
-25	-30	35
-25	-25	-20
-25	-25	-15
-25	-25	-10
-25	-25	-5
-25	-25	0
-25	-25	5
-25	-25	10
-25	-25	15
-25	-25	20
-25	-25	25
-25	-25	30
-25	-25	35
-25	-20	-20
-25	-20	-15
-25	-20	-10
-25	-20	-5
-25	-20	0
-25	-20	5
-25	-20	10
-25	-20	15
-25	-20	20
-25	-20	25
-25	-20	30
-25	-20	35
-25	-15	-20
-25	-15	-15
-25	-15	-10
-25	-15	-5
-25	-15	0
-25	-15	5
-25	-15	10
-25	-15	15
-25	-15	20
-25	-15	25
-25	-15	30
-25	-15	35
-25	-10	-20
-25	-10	-15
-25	-10	-10
-25	-10	-5
-25	-10	0
-25	-10	5
-25	-10	10
-25	-10	15
-25	-10	20
-25	-10	25
-25	-10	30
-25	-10	35
-25	-5	-20
-25	-5	-15
-25	-5	-10
-25	-5	-5
-25	-5	0
-25	-5	5
-25	-5	10
-25	-5	15
-25	-5	20
-25	-5	25
-25	-5	30
-25	-5	35
-25	0	-20
-25	0	-15
-25	0	-10
-25	0	-5
-25	0	0
-25	0	5
-25	0	10
-25	0	15
-25	0	20
-25	0	25
-25	0	30
-25	0	35
-25	5	-20
-25	5	-15
-25	5	-10
-25	5	-5
-25	5	0
-25	5	5
-25	5	10
-25	5	15
-25	5	20
-25	5	25
-25	5	30
-25	5	35
-25	10	-20
-25	10	-15
-25	10	-10
-25	10	-5
-25	10	0
-25	10	5
-25	10	10
-25	10	15
-25	10	20
-25	10	25
-25	10	30
-25	10	35
-25	15	-20
-25	15	-15
-25	15	-10
-25	15	-5
-25	15	0
-25	15	5
-25	15	10
-25	15	15
-25	15	20
-25	15	25
-25	15	30
-25	15	35
-25	20	-20
-25	20	-15
-25	20	-10
-25	20	-5
-25	20	0
-25	20	5
-25	20	10
-25	20	15
-25	20	20
-25	20	25
-25	20	30
-25	20	35
-25	25	-20
-25	25	-15
-25	25	-10
-25	25	-5
-25	25	0
-25	25	5
-25	25	10
-25	25	15
-25	25	20
-25	25	25
-25	25	30
-25	25	35
-25	30	-20
-25	30	-15
-25	30	-10
-25	30	-5
-25	30	0
-25	30	5
-25	30	10
-25	30	15
-25	30	20
-25	30	25
-25	30	30
-25	30	35
-25	35	-20
-25	35	-15
-25	35	-10
-25	35	-5
-25	35	0
-25	35	5
-25	35	10
-25	35	15
-25	35	20
-25	35	25
-25	35	30
-25	35	35
-25	40	-20
-25	40	-15
-25	40	-10
-25	40	-5
-25	40	0
-25	40	5
-25	40	10
-25	40	15
-25	40	20
-25	40	25
-25	40	30
-25	40	35
-20	-40	-20
-20	-40	-15
-20	-40	-10
-20	-40	-5
-20	-40	0
-20	-40	5
-20	-40	10
-20	-40	15
-20	-40	20
-20	-40	25
-20	-40	30
-20	-40	35
-20	-35	-20
-20	-35	-15
-20	-35	-10
-20	-35	-5
-20	-35	0
-20	-35	5
-20	-35	10
-20	-35	15
-20	-35	20
-20	-35	25
-20	-35	30
-20	-35	35
-20	-30	-20
-20	-30	-15
-20	-30	-10
-20	-30	-5
-20	-30	0
-20	-30	5
-20	-30	10
-20	-30	15
-20	-30	20
-20	-30	25
-20	-30	30
-20	-30	35
-20	-25	-20
-20	-25	-15
-20	-25	-10
-20	-25	-5
-20	-25	0
-20	-25	5
-20	-25	10
-20	-25	15
-20	-25	20
-20	-25	25
-20	-25	30
-20	-25	35
-20	-20	-20
-20	-20	-15
-20	-20	-10
-20	-20	-5
-20	-20	0
-20	-20	5
-20	-20	10
-20	-20	15
-20	-20	20
-20	-20	25
-20	-20	30
-20	-20	35
-20	-15	-20
-20	-15	-15
-20	-15	-10
-20	-15	-5
-20	-15	0
-20	-15	5
-20	-15	10
-20	-15	15
-20	-15	20
-20	-15	25
-20	-15	30
-20	-15	35
-20	-10	-20
-20	-10	-15
-20	-10	-10
-20	-10	-5
-20	-10	0
-20	-10	5
-20	-10	10
-20	-10	15
-20	-10	20
-20	-10	25
-20	-10	30
-20	-10	35
-20	-5	-20
-20	-5	-15
-20	-5	-10
-20	-5	-5
-20	-5	0
-20	-5	5
-20	-5	10
-20	-5	15
-20	-5	20
-20	-5	25
-20	-5	30
-20	-5	35
-20	0	-20
-20	0	-15
-20	0	-10
-20	0	-5
-20	0	0
-20	0	5
-20	0	10
-20	0	15
-20	0	20
-20	0	25
-20	0	30
-20	0	35
-20	5	-20
-20	5	-15
-20	5	-10
-20	5	-5
-20	5	0
-20	5	5
-20	5	10
-20	5	15
-20	5	20
-20	5	25
-20	5	30
-20	5	35
-20	10	-20
-20	10	-15
-20	10	-10
-20	10	-5
-20	10	0
-20	10	5
-20	10	10
-20	10	15
-20	10	20
-20	10	25
-20	10	30
-20	10	35
-20	15	-20
-20	15	-15
-20	15	-10
-20	15	-5
-20	15	0
-20	15	5
-20	15	10
-20	15	15
-20	15	20
-20	15	25
-20	15	30
-20	15	35
-20	20	-20
-20	20	-15
-20	20	-10
-20	20	-5
-20	20	0
-20	20	5
-20	20	10
-20	20	15
-20	20	20
-20	20	25
-20	20	30
-20	20	35
-20	25	-20
-20	25	-15
-20	25	-10
-20	25	-5
-20	25	0
-20	25	5
-20	25	10
-20	25	15
-20	25	20
-20	25	25
-20	25	30
-20	25	35
-20	30	-20
-20	30	-15
-20	30	-10
-20	30	-5
-20	30	0
-20	30	5
-20	30	10
-20	30	15
-20	30	20
-20	30	25
-20	30	30
-20	30	35
-20	35	-20
-20	35	-15
-20	35	-10
-20	35	-5
-20	35	0
-20	35	5
-20	35	10
-20	35	15
-20	35	20
-20	35	25
-20	35	30
-20	35	35
-20	40	-20
-20	40	-15
-20	40	-10
-20	40	-5
-20	40	0
-20	40	5
-20	40	10
-20	40	15
-20	40	20
-20	40	25
-20	40	30
-20	40	35
-15	-40	-20
-15	-40	-15
-15	-40	-10
-15	-40	-5
-15	-40	0
-15	-40	5
-15	-40	10
-15	-40	15
-15	-40	20
-15	-40	25
-15	-40	30
-15	-40	35
-15	-35	-20
-15	-35	-15
-15	-35	-10
-15	-35	-5
-15	-35	0
-15	-35	5
-15	-35	10
-15	-35	15
-15	-35	20
-15	-35	25
-15	-35	30
-15	-35	35
-15	-30	-20
-15	-30	-15
-15	-30	-10
-15	-30	-5
-15	-30	0
-15	-30	5
-15	-30	10
-15	-30	15
-15	-30	20
-15	-30	25
-15	-30	30
-15	-30	35
-15	-25	-20
-15	-25	-15
-15	-25	-10
-15	-25	-5
-15	-25	0
-15	-25	5
-15	-25	10
-15	-25	15
-15	-25	20
-15	-25	25
-15	-25	30
-15	-25	35
-15	-20	-20
-15	-20	-15
-15	-20	-10
-15	-20	-5
-15	-20	0
-15	-20	5
-15	-20	10
-15	-20	15
-15	-20	20
-15	-20	25
-15	-20	30
-15	-20	35
-15	-15	-20
-15	-15	-15
-15	-15	-10
-15	-15	-5
-15	-15	0
-15	-15	5
-15	-15	10
-15	-15	15
-15	-15	20
-15	-15	25
-15	-15	30
-15	-15	35
-15	-10	-20
-15	-10	-15
-15	-10	-10
-15	-10	-5
-15	-10	0
-15	-10	5
-15	-10	10
-15	-10	15
-15	-10	20
-15	-10	25
-15	-10	30
-15	-10	35
-15	-5	-20
-15	-5	-15
-15	-5	-10
-15	-5	-5
-15	-5	0
-15	-5	5
-15	-5	10
-15	-5	15
-15	-5	20
-15	-5	25
-15	-5	30
-15	-5	35
-15	0	-20
-15	0	-15
-15	0	-10
-15	0	-5
-15	0	0
-15	0	5
-15	0	10
-15	0	15
-15	0	20
-15	0	25
-15	0	30
-15	0	35
-15	5	-20
-15	5	-15
-15	5	-10
-15	5	-5
-15	5	0
-15	5	5
-15	5	10
-15	5	15
-15	5	20
-15	5	25
-15	5	30
-15	5	35
-15	10	-20
-15	10	-15
-15	10	-10
-15	10	-5
-15	10	0
-15	10	5
-15	10	10
-15	10	15
-15	10	20
-15	10	25
-15	10	30
-15	10	35
-15	15	-20
-15	15	-15
-15	15	-10
-15	15	-5
-15	15	0
-15	15	5
-15	15	10
-15	15	15
-15	15	20
-15	15	25
-15	15	30
-15	15	35
-15	20	-20
-15	20	-15
-15	20	-10
-15	20	-5
-15	20	0
-15	20	5
-15	20	10
-15	20	15
-15	20	20
-15	20	25
-15	20	30
-15	20	35
-15	25	-20
-15	25	-15
-15	25	-10
-15	25	-5
-15	25	0
-15	25	5
-15	25	10
-15	25	15
-15	25	20
-15	25	25
-15	25	30
-15	25	35
-15	30	-20
-15	30	-15
-15	30	-10
-15	30	-5
-15	30	0
-15	30	5
-15	30	10
-15	30	15
-15	30	20
-15	30	25
-15	30	30
-15	30	35
-15	35	-20
-15	35	-15
-15	35	-10
-15	35	-5
-15	35	0
-15	35	5
-15	35	10
-15	35	15
-15	35	20
-15	35	25
-15	35	30
-15	35	35
-15	40	-20
-15	40	-15
-15	40	-10
-15	40	-5
-15	40	0
-15	40	5
-15	40	10
-15	40	15
-15	40	20
-15	40	25
-15	40	30
-15	40	35
-10	-40	-20
-10	-40	-15
-10	-40	-10
-10	-40	-5
-10	-40	0
-10	-40	5
-10	-40	10
-10	-40	15
-10	-40	20
-10	-40	25
-10	-40	30
-10	-40	35
-10	-35	-20
-10	-35	-15
-10	-35	-10
-10	-35	-5
-10	-35	0
-10	-35	5
-10	-35	10
-10	-35	15
-10	-35	20
-10	-35	25
-10	-35	30
-10	-35	35
-10	-30	-20
-10	-30	-15
-10	-30	-10
-10	-30	-5
-10	-30	0
-10	-30	5
-10	-30	10
-10	-30	15
-10	-30	20
-10	-30	25
-10	-30	30
-10	-30	35
-10	-25	-20
-10	-25	-15
-10	-25	-10
-10	-25	-5
-10	-25	0
-10	-25	5
-10	-25	10
-10	-25	15
-10	-25	20
-10	-25	25
-10	-25	30
-10	-25	35
-10	-20	-20
-10	-20	-15
-10	-20	-10
-10	-20	-5
-10	-20	0
-10	-20	5
-10	-20	10
-10	-20	15
-10	-20	20
-10	-20	25
-10	-20	30
-10	-20	35
-10	-15	-20
-10	-15	-15
-10	-15	-10
-10	-15	-5
-10	-15	0
-10	-15	5
-10	-15	10
-10	-15	15
-10	-15	20
-10	-15	25
-10	-15	30
-10	-15	35
-10	-10	-20
-10	-10	-15
-10	-10	-10
-10	-10	-5
-10	-10	0
-10	-10	5
-10	-10	10
-10	-10	15
-10	-10	20
-10	-10	25
-10	-10	30
-10	-10	35
-10	-5	-20
-10	-5	-15
-10	-5	-10
-10	-5	-5
-10	-5	0
-10	-5	5
-10	-5	10
-10	-5	15
-10	-5	20
-10	-5	25
-10	-5	30
-10	-5	35
-10	0	-20
-10	0	-15
-10	0	-10
-10	0	-5
-10	0	0
-10	0	5
-10	0	10
-10	0	15
-10	0	20
-10	0	25
-10	0	30
-10	0	35
-10	5	-20
-10	5	-15
-10	5	-10
-10	5	-5
-10	5	0
-10	5	5
-10	5	10
-10	5	15
-10	5	20
-10	5	25
-10	5	30
-10	5	35
-10	10	-20
-10	10	-15
-10	10	-10
-10	10	-5
-10	10	0
-10	10	5
-10	10	10
-10	10	15
-10	10	20
-10	10	25
-10	10	30
-10	10	35
-10	15	-20
-10	15	-15
-10	15	-10
-10	15	-5
-10	15	0
-10	15	5
-10	15	10
-10	15	15
-10	15	20
-10	15	25
-10	15	30
-10	15	35
-10	20	-20
-10	20	-15
-10	20	-10
-10	20	-5
-10	20	0
-10	20	5
-10	20	10
-10	20	15
-10	20	20
-10	20	25
-10	20	30
-10	20	35
-10	25	-20
-10	25	-15
-10	25	-10
-10	25	-5
-10	25	0
-10	25	5
-10	25	10
-10	25	15
-10	25	20
-10	25	25
-10	25	30
-10	25	35
-10	30	-20
-10	30	-15
-10	30	-10
-10	30	-5
-10	30	0
-10	30	5
-10	30	10
-10	30	15
-10	30	20
-10	30	25
-10	30	30
-10	30	35
-10	35	-20
-10	35	-15
-10	35	-10
-10	35	-5
-10	35	0
-10	35	5
-10	35	10
-10	35	15
-10	35	20
-10	35	25
-10	35	30
-10	35	35
-10	40	-20
-10	40	-15
-10	40	-10
-10	40	-5
-10	40	0
-10	40	5
-10	40	10
-10	40	15
-10	40	20
-10	40	25
-10	40	30
-10	40	35
-5	-40	-20
-5	-40	-15
-5	-40	-10
-5	-40	-5
-5	-40	0
-5	-40	5
-5	-40	10
-5	-40	15
-5	-40	20
-5	-40	25
-5	-40	30
-5	-40	35
-5	-35	-20
-5	-35	-15
-5	-35	-10
-5	-35	-5
-5	-35	0
-5	-35	5
-5	-35	10
-5	-35	15
-5	-35	20
-5	-35	25
-5	-35	30
-5	-35	35
-5	-30	-20
-5	-30	-15
-5	-30	-10
-5	-30	-5
-5	-30	0
-5	-30	5
-5	-30	10
-5	-30	15
-5	-30	20
-5	-30	25
-5	-30	30
-5	-30	35
-5	-25	-20
-5	-25	-15
-5	-25	-10
-5	-25	-5
-5	-25	0
-5	-25	5
-5	-25	10
-5	-25	15
-5	-25	20
-5	-25	25
-5	-25	30
-5	-25	35
-5	-20	-20
-5	-20	-15
-5	-20	-10
-5	-20	-5
-5	-20	0
-5	-20	5
-5	-20	10
-5	-20	15
-5	-20	20
-5	-20	25
-5	-20	30
-5	-20	35
-5	-15	-20
-5	-15	-15
-5	-15	-10
-5	-15	-5
-5	-15	0
-5	-15	5
-5	-15	10
-5	-15	15
-5	-15	20
-5	-15	25
-5	-15	30
-5	-15	35
-5	-10	-20
-5	-10	-15
-5	-10	-10
-5	-10	-5
-5	-10	0
-5	-10	5
-5	-10	10
-5	-10	15
-5	-10	20
-5	-10	25
-5	-10	30
-5	-10	35
-5	-5	-20
-5	-5	-15
-5	-5	-10
-5	-5	-5
-5	-5	0
-5	-5	5
-5	-5	10
-5	-5	15
-5	-5	20
-5	-5	25
-5	-5	30
-5	-5	35
-5	0	-20
-5	0	-15
-5	0	-10
-5	0	-5
-5	0	0
-5	0	5
-5	0	10
-5	0	15
-5	0	20
-5	0	25
-5	0	30
-5	0	35
-5	5	-20
-5	5	-15
-5	5	-10
-5	5	-5
-5	5	0
-5	5	5
-5	5	10
-5	5	15
-5	5	20
-5	5	25
-5	5	30
-5	5	35
-5	10	-20
-5	10	-15
-5	10	-10
-5	10	-5
-5	10	0
-5	10	5
-5	10	10
-5	10	15
-5	10	20
-5	10	25
-5	10	30
-5	10	35
-5	15	-20
-5	15	-15
-5	15	-10
-5	15	-5
-5	15	0
-5	15	5
-5	15	10
-5	15	15
-5	15	20
-5	15	25
-5	15	30
-5	15	35
-5	20	-20
-5	20	-15
-5	20	-10
-5	20	-5
-5	20	0
-5	20	5
-5	20	10
-5	20	15
-5	20	20
-5	20	25
-5	20	30
-5	20	35
-5	25	-20
-5	25	-15
-5	25	-10
-5	25	-5
-5	25	0
-5	25	5
-5	25	10
-5	25	15
-5	25	20
-5	25	25
-5	25	30
-5	25	35
-5	30	-20
-5	30	-15
-5	30	-10
-5	30	-5
-5	30	0
-5	30	5
-5	30	10
-5	30	15
-5	30	20
-5	30	25
-5	30	30
-5	30	35
-5	35	-20
-5	35	-15
-5	35	-10
-5	35	-5
-5	35	0
-5	35	5
-5	35	10
-5	35	15
-5	35	20
-5	35	25
-5	35	30
-5	35	35
-5	40	-20
-5	40	-15
-5	40	-10
-5	40	-5
-5	40	0
-5	40	5
-5	40	10
-5	40	15
-5	40	20
-5	40	25
-5	40	30
-5	40	35
